,FUNC+1,FUNC+2,FUNC+3,FUNC-1,FUNC-2,FUNC-3
130903,P<,PU,,N<ARGO,ACC,STA
130904,PU,,,>N,N<ARGO,ACC
130905,,,,P<,>N,N<ARGO
130906,STA,>N,>N,,,
130907,>N,>N,ACC,SUBJ,,
130908,>N,ACC,,STA,SUBJ,
130909,ACC,,,>N,STA,SUBJ
130910,,,,>N,>N,STA
130911,PU,N<PRED,PU,,,
130912,N<PRED,PU,N<PRED,SUBJ,,
130913,PU,N<PRED,PU,PU,SUBJ,
130914,N<PRED,PU,PU,N<PRED,PU,SUBJ
130915,PU,PU,STA,PU,N<PRED,PU
130916,PU,STA,ADVL,N<PRED,PU,N<PRED
130917,STA,ADVL,PIV,PU,N<PRED,PU
130918,ADVL,PIV,>N,PU,PU,N<PRED
130919,PIV,>N,P<,STA,PU,PU
130920,>N,P<,N<,ADVL,STA,PU
130921,P<,N<,P<,PIV,ADVL,STA
130922,N<,P<,ADVL,>N,PIV,ADVL
130923,P<,ADVL,>N,P<,>N,PIV
130924,ADVL,>N,P<,N<,P<,>N
130925,>N,P<,N<,P<,N<,P<
130926,P<,N<,PU,ADVL,P<,N<
130927,N<,PU,,>N,ADVL,P<
130928,PU,,,P<,>N,ADVL
130929,,,,N<,P<,>N
130930,STA,MV,PIV,,,
130931,MV,PIV,P<,SUBJ,,
130932,PIV,P<,PU,STA,SUBJ,
130933,P<,PU,,MV,STA,SUBJ
130934,PU,,,PIV,MV,STA
130935,,,,P<,PIV,MV
130936,AUX,MV,PIV,,,
130937,MV,PIV,>N,STA,,
130938,PIV,>N,P<,AUX,STA,
130939,>N,P<,PU,MV,AUX,STA
130940,P<,PU,ADVL,PIV,MV,AUX
130941,PU,ADVL,>N,>N,PIV,MV
130942,ADVL,>N,SUBJ,P<,>N,PIV
130943,>N,SUBJ,N<,PU,P<,>N
130944,SUBJ,N<,PU,ADVL,PU,P<
130945,N<,PU,N<PRED,>N,ADVL,PU
130946,PU,N<PRED,PU,SUBJ,>N,ADVL
130947,N<PRED,PU,N<PRED,N<,SUBJ,>N
130948,PU,N<PRED,ADVL,PU,N<,SUBJ
130949,N<PRED,ADVL,>N,N<PRED,PU,N<
130950,ADVL,>N,>N,PU,N<PRED,PU
130951,>N,>N,P<,N<PRED,PU,N<PRED
130952,>N,P<,PU,ADVL,N<PRED,PU
130953,P<,PU,,>N,ADVL,N<PRED
130954,PU,,,>N,>N,ADVL
130955,,,,P<,>N,>N
130956,STA,MV,ADVL,,,
130957,MV,ADVL,>N,SUBJ,,
130958,ADVL,>N,P<,STA,SUBJ,
130959,>N,P<,CO,MV,STA,SUBJ
130960,P<,CO,ADVL,ADVL,MV,STA
130961,CO,ADVL,CJT,>N,ADVL,MV
130962,ADVL,CJT,ACC,P<,>N,ADVL
130963,CJT,ACC,N<,CO,P<,>N
130964,ACC,N<,P<,ADVL,CO,P<
130965,N<,P<,PU,CJT,ADVL,CO
130966,P<,PU,,ACC,CJT,ADVL
130967,PU,,,N<,ACC,CJT
130968,,,,P<,N<,ACC
130969,STA,MV,ADVL,,,
130970,MV,ADVL,>N,SUBJ,,
130971,ADVL,>N,P<,STA,SUBJ,
130972,>N,P<,CO,MV,STA,SUBJ
130973,P<,CO,ADVL,ADVL,MV,STA
130974,CO,ADVL,CJT,>N,ADVL,MV
130975,ADVL,CJT,ACC,P<,>N,ADVL
130976,CJT,ACC,N<,CO,P<,>N
130977,ACC,N<,P<,ADVL,CO,P<
130978,N<,P<,PU,CJT,ADVL,CO
130979,P<,PU,,ACC,CJT,ADVL
130980,PU,,,N<,ACC,CJT
130981,,,,P<,N<,ACC
130982,STA,ACC,N<,,,
130983,ACC,N<,>N,SUBJ,,
130984,N<,>N,P<,STA,SUBJ,
130985,>N,P<,,ACC,STA,SUBJ
130986,P<,,,N<,ACC,STA
130987,,,,>N,N<,ACC
130988,N<,>N,P<,,,
130989,>N,P<,N<,SUBJ,,
130990,P<,N<,>N,N<,SUBJ,
130991,N<,>N,P<,>N,N<,SUBJ
130992,>N,P<,STA,P<,>N,N<
130993,P<,STA,>N,N<,P<,>N
130994,STA,>N,ACC,>N,N<,P<
130995,>N,ACC,N<ARGO,P<,>N,N<
130996,ACC,N<ARGO,>N,STA,P<,>N
130997,N<ARGO,>N,P<,>N,STA,P<
130998,>N,P<,N<,ACC,>N,STA
130999,P<,N<,N<,N<ARGO,ACC,>N
131000,N<,N<,P<,>N,N<ARGO,ACC
131001,N<,P<,PU,P<,>N,N<ARGO
131002,P<,PU,>N,N<,P<,>N
131003,PU,>N,N<PRED,N<,N<,P<
131004,>N,N<PRED,N<,P<,N<,N<
131005,N<PRED,N<,>N,PU,P<,N<
131006,N<,>N,P<,>N,PU,P<
131007,>N,P<,PU,N<PRED,>N,PU
131008,P<,PU,,N<,N<PRED,>N
131009,PU,,,>N,N<,N<PRED
131010,,,,P<,>N,N<
131011,SUBJ,STA,ADVL,,,
131012,STA,ADVL,>N,>N,,
131013,ADVL,>N,>N,SUBJ,>N,
131014,>N,>N,P<,STA,SUBJ,>N
131015,>N,P<,N<,ADVL,STA,SUBJ
131016,P<,N<,P<,>N,ADVL,STA
131017,N<,P<,PU,>N,>N,ADVL
131018,P<,PU,>N,P<,>N,>N
131019,PU,>N,N<PRED,N<,P<,>N
131020,>N,N<PRED,N<,P<,N<,P<
131021,N<PRED,N<,>N,PU,P<,N<
131022,N<,>N,P<,>N,PU,P<
131023,>N,P<,PU,N<PRED,>N,PU
131024,P<,PU,,N<,N<PRED,>N
131025,PU,,,>N,N<,N<PRED
131026,,,,P<,>N,N<
131027,SUBJ,STA,ADVL,,,
131028,STA,ADVL,>N,>N,,
131029,ADVL,>N,P<,SUBJ,>N,
131030,>N,P<,ADVL,STA,SUBJ,>N
131031,P<,ADVL,>N,ADVL,STA,SUBJ
131032,ADVL,>N,P<,>N,ADVL,STA
131033,>N,P<,N<,P<,>N,ADVL
131034,P<,N<,>N,ADVL,P<,>N
131035,N<,>N,P<,>N,ADVL,P<
131036,>N,P<,N<,P<,>N,ADVL
131037,P<,N<,CO,N<,P<,>N
131038,N<,CO,>N,>N,N<,P<
131039,CO,>N,CJT,P<,>N,N<
131040,>N,CJT,PU,N<,P<,>N
131041,CJT,PU,,CO,N<,P<
131042,PU,,,>N,CO,N<
131043,,,,CJT,>N,CO
131044,ADVL,STA,ACC,,,
131045,STA,ACC,N<,PU,,
131046,ACC,N<,P<,ADVL,PU,
131047,N<,P<,ACC,STA,ADVL,PU
131048,P<,ACC,PU,ACC,STA,ADVL
131049,ACC,PU,,N<,ACC,STA
131050,PU,,,P<,N<,ACC
131051,,,,ACC,P<,N<
131052,SUBJ,N<ARGO,>N,,,
131053,N<ARGO,>N,P<,>N,,
131054,>N,P<,N<ARGO,SUBJ,>N,
131055,P<,N<ARGO,P<,N<ARGO,SUBJ,>N
131056,N<ARGO,P<,ACC,>N,N<ARGO,SUBJ
131057,P<,ACC,SC,P<,>N,N<ARGO
131058,ACC,SC,PU,N<ARGO,P<,>N
131059,SC,PU,PU,P<,N<ARGO,P<
131060,PU,PU,STA,ACC,P<,N<ARGO
131061,PU,STA,SUBJ,SC,ACC,P<
131062,STA,SUBJ,PU,PU,SC,ACC
131063,SUBJ,PU,N<PRED,PU,PU,SC
131064,PU,N<PRED,N<,STA,PU,PU
131065,N<PRED,N<,>N,SUBJ,STA,PU
131066,N<,>N,P<,PU,SUBJ,STA
131067,>N,P<,PU,N<PRED,PU,SUBJ
131068,P<,PU,,N<,N<PRED,PU
131069,PU,,,>N,N<,N<PRED
131070,,,,P<,>N,N<
131071,SUBJ,N<ARGO,>N,,,
131072,N<ARGO,>N,P<,>N,,
131073,>N,P<,N<ARGO,SUBJ,>N,
131074,P<,N<ARGO,P<,N<ARGO,SUBJ,>N
131075,N<ARGO,P<,ACC,>N,N<ARGO,SUBJ
131076,P<,ACC,SC,P<,>N,N<ARGO
131077,ACC,SC,PU,N<ARGO,P<,>N
131078,SC,PU,PU,P<,N<ARGO,P<
131079,PU,PU,STA,ACC,P<,N<ARGO
131080,PU,STA,SUBJ,SC,ACC,P<
131081,STA,SUBJ,PU,PU,SC,ACC
131082,SUBJ,PU,N<PRED,PU,PU,SC
131083,PU,N<PRED,N<,STA,PU,PU
131084,N<PRED,N<,>N,SUBJ,STA,PU
131085,N<,>N,P<,PU,SUBJ,STA
131086,>N,P<,PU,N<PRED,PU,SUBJ
131087,P<,PU,,N<,N<PRED,PU
131088,PU,,,>N,N<,N<PRED
131089,,,,P<,>N,N<
131090,SUBJ,N<,>N,,,
131091,N<,>N,P<,>N,,
131092,>N,P<,STA,SUBJ,>N,
131093,P<,STA,SC,N<,SUBJ,>N
131094,STA,SC,PU,>N,N<,SUBJ
131095,SC,PU,,P<,>N,N<
131096,PU,,,STA,P<,>N
131097,,,,SC,STA,P<
131098,N<,STA,SUB,,,
131099,STA,SUB,ACC,SUBJ,,
131100,SUB,ACC,SUBJ,N<,SUBJ,
131101,ACC,SUBJ,PIV,STA,N<,SUBJ
131102,SUBJ,PIV,>N,SUB,STA,N<
131103,PIV,>N,P<,ACC,SUB,STA
131104,>N,P<,,SUBJ,ACC,SUB
131105,P<,,,PIV,SUBJ,ACC
131106,,,,>N,PIV,SUBJ
131107,N<,STA,SUB,,,
131108,STA,SUB,ACC,SUBJ,,
131109,SUB,ACC,SUBJ,N<,SUBJ,
131110,ACC,SUBJ,PIV,STA,N<,SUBJ
131111,SUBJ,PIV,>N,SUB,STA,N<
131112,PIV,>N,P<,ACC,SUB,STA
131113,>N,P<,,SUBJ,ACC,SUB
131114,P<,,,PIV,SUBJ,ACC
131115,,,,>N,PIV,SUBJ
131116,SUBJ,STA,PRT-AUX,,,
131117,STA,PRT-AUX,MV,>N,,
131118,PRT-AUX,MV,>N,SUBJ,>N,
131119,MV,>N,ACC,STA,SUBJ,>N
131120,>N,ACC,N<,PRT-AUX,STA,SUBJ
131121,ACC,N<,ADVL,MV,PRT-AUX,STA
131122,N<,ADVL,>N,>N,MV,PRT-AUX
131123,ADVL,>N,>N,ACC,>N,MV
131124,>N,>N,P<,N<,ACC,>N
131125,>N,P<,PU,ADVL,N<,ACC
131126,P<,PU,ADVL,>N,ADVL,N<
131127,PU,ADVL,ADVL,>N,>N,ADVL
131128,ADVL,ADVL,>N,P<,>N,>N
131129,ADVL,>N,P<,PU,P<,>N
131130,>N,P<,PU,ADVL,PU,P<
131131,P<,PU,ADVL,ADVL,ADVL,PU
131132,PU,ADVL,P<,>N,ADVL,ADVL
131133,ADVL,P<,N<ARGO,P<,>N,ADVL
131134,P<,N<ARGO,>N,PU,P<,>N
131135,N<ARGO,>N,>N,ADVL,PU,P<
131136,>N,>N,P<,P<,ADVL,PU
131137,>N,P<,N<,N<ARGO,P<,ADVL
131138,P<,N<,>N,>N,N<ARGO,P<
131139,N<,>N,P<,>N,>N,N<ARGO
131140,>N,P<,PU,P<,>N,>N
131141,P<,PU,,N<,P<,>N
131142,PU,,,>N,N<,P<
131143,,,,P<,>N,N<
131144,SUBJ,N<,PU,,,
131145,N<,PU,N<PRED,>N,,
131146,PU,N<PRED,PIV,SUBJ,>N,
131147,N<PRED,PIV,>N,N<,SUBJ,>N
131148,PIV,>N,P<,PU,N<,SUBJ
131149,>N,P<,N<ARGS,N<PRED,PU,N<
131150,P<,N<ARGS,>N,PIV,N<PRED,PU
131151,N<ARGS,>N,P<,>N,PIV,N<PRED
131152,>N,P<,N<ARGS,P<,>N,PIV
131153,P<,N<ARGS,>N,N<ARGS,P<,>N
131154,N<ARGS,>N,P<,>N,N<ARGS,P<
131155,>N,P<,N<,P<,>N,N<ARGS
131156,P<,N<,P<,N<ARGS,P<,>N
131157,N<,P<,N<,>N,N<ARGS,P<
131158,P<,N<,P<,P<,>N,N<ARGS
131159,N<,P<,N<,N<,P<,>N
131160,P<,N<,P<,P<,N<,P<
131161,N<,P<,anteontem,N<,P<,N<
131162,P<,anteontem,PU,P<,N<,P<
131163,anteontem,PU,STA,N<,P<,N<
131164,PU,STA,PU,P<,N<,P<
131165,STA,PU,SUB,anteontem,P<,N<
131166,PU,SUB,ACC,PU,anteontem,P<
131167,SUB,ACC,MV,STA,PU,anteontem
131168,ACC,MV,ACC,PU,STA,PU
131169,MV,ACC,CO,SUB,PU,STA
131170,ACC,CO,CJT,ACC,SUB,PU
131171,CO,CJT,PIV,MV,ACC,SUB
131172,CJT,PIV,>N,ACC,MV,ACC
131173,PIV,>N,P<,CO,ACC,MV
131174,>N,P<,PU,CJT,CO,ACC
131175,P<,PU,PU,PIV,CJT,CO
131176,PU,PU,,>N,PIV,CJT
131177,PU,,,P<,>N,PIV
131178,,,,PU,P<,>N
131179,SUBJ,N<,PU,,,
131180,N<,PU,N<PRED,>N,,
131181,PU,N<PRED,PIV,SUBJ,>N,
131182,N<PRED,PIV,>N,N<,SUBJ,>N
131183,PIV,>N,P<,PU,N<,SUBJ
131184,>N,P<,N<ARGS,N<PRED,PU,N<
131185,P<,N<ARGS,>N,PIV,N<PRED,PU
131186,N<ARGS,>N,P<,>N,PIV,N<PRED
131187,>N,P<,N<ARGS,P<,>N,PIV
131188,P<,N<ARGS,>N,N<ARGS,P<,>N
131189,N<ARGS,>N,P<,>N,N<ARGS,P<
131190,>N,P<,N<,P<,>N,N<ARGS
131191,P<,N<,P<,N<ARGS,P<,>N
131192,N<,P<,N<,>N,N<ARGS,P<
131193,P<,N<,P<,P<,>N,N<ARGS
131194,N<,P<,N<,N<,P<,>N
131195,P<,N<,P<,P<,N<,P<
131196,N<,P<,anteontem,N<,P<,N<
131197,P<,anteontem,PU,P<,N<,P<
131198,anteontem,PU,STA,N<,P<,N<
131199,PU,STA,PU,P<,N<,P<
131200,STA,PU,SUB,anteontem,P<,N<
131201,PU,SUB,ACC,PU,anteontem,P<
131202,SUB,ACC,MV,STA,PU,anteontem
131203,ACC,MV,ACC,PU,STA,PU
131204,MV,ACC,CO,SUB,PU,STA
131205,ACC,CO,CJT,ACC,SUB,PU
131206,CO,CJT,PIV,MV,ACC,SUB
131207,CJT,PIV,>N,ACC,MV,ACC
131208,PIV,>N,P<,CO,ACC,MV
131209,>N,P<,PU,CJT,CO,ACC
131210,P<,PU,PU,PIV,CJT,CO
131211,PU,PU,,>N,PIV,CJT
131212,PU,,,P<,>N,PIV
131213,,,,PU,P<,>N
131214,ADVL,STA,ACC,,,
131215,STA,ACC,SUB,SUBJ,,
131216,ACC,SUB,>N,ADVL,SUBJ,
131217,SUB,>N,SUBJ,STA,ADVL,SUBJ
131218,>N,SUBJ,N<,ACC,STA,ADVL
131219,SUBJ,N<,N<,SUB,ACC,STA
131220,N<,N<,>N,>N,SUB,ACC
131221,N<,>N,>N,SUBJ,>N,SUB
131222,>N,>N,ACC,N<,SUBJ,>N
131223,>N,ACC,PU,N<,N<,SUBJ
131224,ACC,PU,N<PRED,>N,N<,N<
131225,PU,N<PRED,ADVL,>N,>N,N<
131226,N<PRED,ADVL,P<,ACC,>N,>N
131227,ADVL,P<,N<,PU,ACC,>N
131228,P<,N<,P<,N<PRED,PU,ACC
131229,N<,P<,PU,ADVL,N<PRED,PU
131230,P<,PU,,P<,ADVL,N<PRED
131231,PU,,,N<,P<,ADVL
131232,,,,P<,N<,P<
131233,ADVL,STA,ACC,,,
131234,STA,ACC,SUB,SUBJ,,
131235,ACC,SUB,>N,ADVL,SUBJ,
131236,SUB,>N,SUBJ,STA,ADVL,SUBJ
131237,>N,SUBJ,N<,ACC,STA,ADVL
131238,SUBJ,N<,N<,SUB,ACC,STA
131239,N<,N<,>N,>N,SUB,ACC
131240,N<,>N,>N,SUBJ,>N,SUB
131241,>N,>N,ACC,N<,SUBJ,>N
131242,>N,ACC,PU,N<,N<,SUBJ
131243,ACC,PU,N<PRED,>N,N<,N<
131244,PU,N<PRED,ADVL,>N,>N,N<
131245,N<PRED,ADVL,P<,ACC,>N,>N
131246,ADVL,P<,N<,PU,ACC,>N
131247,P<,N<,P<,N<PRED,PU,ACC
131248,N<,P<,PU,ADVL,N<PRED,PU
131249,P<,PU,,P<,ADVL,N<PRED
131250,PU,,,N<,P<,ADVL
131251,,,,P<,N<,P<
131252,SUB,SUBJ,ADVL,,,
131253,SUBJ,ADVL,PU,PU,,
131254,ADVL,PU,ACC,SUB,PU,
131255,PU,ACC,PRT-AUX,SUBJ,SUB,PU
131256,ACC,PRT-AUX,MV,ADVL,SUBJ,SUB
131257,PRT-AUX,MV,SC,PU,ADVL,SUBJ
131258,MV,SC,PU,ACC,PU,ADVL
131259,SC,PU,ADVL,PRT-AUX,ACC,PU
131260,PU,ADVL,>N,MV,PRT-AUX,ACC
131261,ADVL,>N,P<,SC,MV,PRT-AUX
131262,>N,P<,ADVL,PU,SC,MV
131263,P<,ADVL,P,ADVL,PU,SC
131264,ADVL,P,ADVL,>N,ADVL,PU
131265,P,ADVL,PU,P<,>N,ADVL
131266,ADVL,PU,PU,ADVL,P<,>N
131267,PU,PU,STA,P,ADVL,P<
131268,PU,STA,PU,ADVL,P,ADVL
131269,STA,PU,,PU,ADVL,P
131270,PU,,,PU,PU,ADVL
131271,,,,STA,PU,PU
131272,SUB,SUBJ,ADVL,,,
131273,SUBJ,ADVL,PU,PU,,
131274,ADVL,PU,ACC,SUB,PU,
131275,PU,ACC,PRT-AUX,SUBJ,SUB,PU
131276,ACC,PRT-AUX,MV,ADVL,SUBJ,SUB
131277,PRT-AUX,MV,SC,PU,ADVL,SUBJ
131278,MV,SC,PU,ACC,PU,ADVL
131279,SC,PU,ADVL,PRT-AUX,ACC,PU
131280,PU,ADVL,>N,MV,PRT-AUX,ACC
131281,ADVL,>N,P<,SC,MV,PRT-AUX
131282,>N,P<,ADVL,PU,SC,MV
131283,P<,ADVL,P,ADVL,PU,SC
131284,ADVL,P,ADVL,>N,ADVL,PU
131285,P,ADVL,PU,P<,>N,ADVL
131286,ADVL,PU,PU,ADVL,P<,>N
131287,PU,PU,STA,P,ADVL,P<
131288,PU,STA,PU,ADVL,P,ADVL
131289,STA,PU,,PU,ADVL,P
131290,PU,,,PU,PU,ADVL
131291,,,,STA,PU,PU
131292,SUB,SUBJ,ADVL,,,
131293,SUBJ,ADVL,PU,PU,,
131294,ADVL,PU,ACC,SUB,PU,
131295,PU,ACC,PRT-AUX,SUBJ,SUB,PU
131296,ACC,PRT-AUX,MV,ADVL,SUBJ,SUB
131297,PRT-AUX,MV,SC,PU,ADVL,SUBJ
131298,MV,SC,PU,ACC,PU,ADVL
131299,SC,PU,ADVL,PRT-AUX,ACC,PU
131300,PU,ADVL,>N,MV,PRT-AUX,ACC
131301,ADVL,>N,P<,SC,MV,PRT-AUX
131302,>N,P<,ADVL,PU,SC,MV
131303,P<,ADVL,P,ADVL,PU,SC
131304,ADVL,P,ADVL,>N,ADVL,PU
131305,P,ADVL,PU,P<,>N,ADVL
131306,ADVL,PU,PU,ADVL,P<,>N
131307,PU,PU,STA,P,ADVL,P<
131308,PU,STA,PU,ADVL,P,ADVL
131309,STA,PU,,PU,ADVL,P
131310,PU,,,PU,PU,ADVL
131311,,,,STA,PU,PU
131312,SUB,SUBJ,ADVL,,,
131313,SUBJ,ADVL,PU,PU,,
131314,ADVL,PU,ACC,SUB,PU,
131315,PU,ACC,PRT-AUX,SUBJ,SUB,PU
131316,ACC,PRT-AUX,MV,ADVL,SUBJ,SUB
131317,PRT-AUX,MV,SC,PU,ADVL,SUBJ
131318,MV,SC,PU,ACC,PU,ADVL
131319,SC,PU,ADVL,PRT-AUX,ACC,PU
131320,PU,ADVL,>N,MV,PRT-AUX,ACC
131321,ADVL,>N,P<,SC,MV,PRT-AUX
131322,>N,P<,ADVL,PU,SC,MV
131323,P<,ADVL,P,ADVL,PU,SC
131324,ADVL,P,ADVL,>N,ADVL,PU
131325,P,ADVL,PU,P<,>N,ADVL
131326,ADVL,PU,PU,ADVL,P<,>N
131327,PU,PU,STA,P,ADVL,P<
131328,PU,STA,PU,ADVL,P,ADVL
131329,STA,PU,,PU,ADVL,P
131330,PU,,,PU,PU,ADVL
131331,,,,STA,PU,PU
131332,SC,ACC,SUBJ,,,
131333,ACC,SUBJ,,STA,,
131334,SUBJ,,,SC,STA,
131335,,,,ACC,SC,STA
131336,SC,ACC,SUBJ,,,
131337,ACC,SUBJ,,STA,,
131338,SUBJ,,,SC,STA,
131339,,,,ACC,SC,STA
131340,ADVL,>N,P<,,,
131341,>N,P<,N<,SA,,
131342,P<,N<,N<,ADVL,SA,
131343,N<,N<,P<,>N,ADVL,SA
131344,N<,P<,N<,P<,>N,ADVL
131345,P<,N<,P<,N<,P<,>N
131346,N<,P<,PU,N<,N<,P<
131347,P<,PU,ADVL,P<,N<,N<
131348,PU,ADVL,P<,N<,P<,N<
131349,ADVL,P<,PU,P<,N<,P<
131350,P<,PU,SUBJ,PU,P<,N<
131351,PU,SUBJ,STA,ADVL,PU,P<
131352,SUBJ,STA,>N,P<,ADVL,PU
131353,STA,>N,ACC,PU,P<,ADVL
131354,>N,ACC,N<,SUBJ,PU,P<
131355,ACC,N<,ADVL,STA,SUBJ,PU
131356,N<,ADVL,>N,>N,STA,SUBJ
131357,ADVL,>N,P<,ACC,>N,STA
131358,>N,P<,PU,N<,ACC,>N
131359,P<,PU,ADVL,ADVL,N<,ACC
131360,PU,ADVL,P<,>N,ADVL,N<
131361,ADVL,P<,PU,P<,>N,ADVL
131362,P<,PU,ADVL,PU,P<,>N
131363,PU,ADVL,N<PRED,ADVL,PU,P<
131364,ADVL,N<PRED,>N,P<,ADVL,PU
131365,N<PRED,>N,SC,PU,P<,ADVL
131366,>N,SC,N<,ADVL,PU,P<
131367,SC,N<,N<,N<PRED,ADVL,PU
131368,N<,N<,>N,>N,N<PRED,ADVL
131369,N<,>N,P<,SC,>N,N<PRED
131370,>N,P<,N<,N<,SC,>N
131371,P<,N<,PU,N<,N<,SC
131372,N<,PU,,>N,N<,N<
131373,PU,,,P<,>N,N<
131374,,,,N<,P<,>N
131375,ADVL,>N,P<,,,
131376,>N,P<,N<,SA,,
131377,P<,N<,N<,ADVL,SA,
131378,N<,N<,P<,>N,ADVL,SA
131379,N<,P<,N<,P<,>N,ADVL
131380,P<,N<,P<,N<,P<,>N
131381,N<,P<,PU,N<,N<,P<
131382,P<,PU,ADVL,P<,N<,N<
131383,PU,ADVL,P<,N<,P<,N<
131384,ADVL,P<,PU,P<,N<,P<
131385,P<,PU,SUBJ,PU,P<,N<
131386,PU,SUBJ,STA,ADVL,PU,P<
131387,SUBJ,STA,>N,P<,ADVL,PU
131388,STA,>N,ACC,PU,P<,ADVL
131389,>N,ACC,N<,SUBJ,PU,P<
131390,ACC,N<,ADVL,STA,SUBJ,PU
131391,N<,ADVL,>N,>N,STA,SUBJ
131392,ADVL,>N,P<,ACC,>N,STA
131393,>N,P<,PU,N<,ACC,>N
131394,P<,PU,ADVL,ADVL,N<,ACC
131395,PU,ADVL,P<,>N,ADVL,N<
131396,ADVL,P<,PU,P<,>N,ADVL
131397,P<,PU,ADVL,PU,P<,>N
131398,PU,ADVL,N<PRED,ADVL,PU,P<
131399,ADVL,N<PRED,>N,P<,ADVL,PU
131400,N<PRED,>N,SC,PU,P<,ADVL
131401,>N,SC,N<,ADVL,PU,P<
131402,SC,N<,N<,N<PRED,ADVL,PU
131403,N<,N<,>N,>N,N<PRED,ADVL
131404,N<,>N,P<,SC,>N,N<PRED
131405,>N,P<,N<,N<,SC,>N
131406,P<,N<,PU,N<,N<,SC
131407,N<,PU,,>N,N<,N<
131408,PU,,,P<,>N,N<
131409,,,,N<,P<,>N
131410,P<,PU,ADVL,,,
131411,PU,ADVL,P<,ADVL,,
131412,ADVL,P<,>N,P<,ADVL,
131413,P<,>N,ACC,PU,P<,ADVL
131414,>N,ACC,N<,ADVL,PU,P<
131415,ACC,N<,CO,P<,ADVL,PU
131416,N<,CO,CJT,>N,P<,ADVL
131417,CO,CJT,ADVL,ACC,>N,P<
131418,CJT,ADVL,>N,N<,ACC,>N
131419,ADVL,>N,P<,CO,N<,ACC
131420,>N,P<,PU,CJT,CO,N<
131421,P<,PU,SUBJ,ADVL,CJT,CO
131422,PU,SUBJ,STA,>N,ADVL,CJT
131423,SUBJ,STA,>N,P<,>N,ADVL
131424,STA,>N,ACC,PU,P<,>N
131425,>N,ACC,PU,SUBJ,PU,P<
131426,ACC,PU,ADVL,STA,SUBJ,PU
131427,PU,ADVL,PIV,>N,STA,SUBJ
131428,ADVL,PIV,>N,ACC,>N,STA
131429,PIV,>N,P<,PU,ACC,>N
131430,>N,P<,PU,ADVL,PU,ACC
131431,P<,PU,,PIV,ADVL,PU
131432,PU,,,>N,PIV,ADVL
131433,,,,P<,>N,PIV
131434,P<,PU,ADVL,,,
131435,PU,ADVL,P<,ADVL,,
131436,ADVL,P<,>N,P<,ADVL,
131437,P<,>N,ACC,PU,P<,ADVL
131438,>N,ACC,N<,ADVL,PU,P<
131439,ACC,N<,CO,P<,ADVL,PU
131440,N<,CO,CJT,>N,P<,ADVL
131441,CO,CJT,ADVL,ACC,>N,P<
131442,CJT,ADVL,>N,N<,ACC,>N
131443,ADVL,>N,P<,CO,N<,ACC
131444,>N,P<,PU,CJT,CO,N<
131445,P<,PU,SUBJ,ADVL,CJT,CO
131446,PU,SUBJ,STA,>N,ADVL,CJT
131447,SUBJ,STA,>N,P<,>N,ADVL
131448,STA,>N,ACC,PU,P<,>N
131449,>N,ACC,PU,SUBJ,PU,P<
131450,ACC,PU,ADVL,STA,SUBJ,PU
131451,PU,ADVL,PIV,>N,STA,SUBJ
131452,ADVL,PIV,>N,ACC,>N,STA
131453,PIV,>N,P<,PU,ACC,>N
131454,>N,P<,PU,ADVL,PU,ACC
131455,P<,PU,,PIV,ADVL,PU
131456,PU,,,>N,PIV,ADVL
131457,,,,P<,>N,PIV
131458,P<,PU,ADVL,,,
131459,PU,ADVL,P<,ADVL,,
131460,ADVL,P<,>N,P<,ADVL,
131461,P<,>N,ACC,PU,P<,ADVL
131462,>N,ACC,N<,ADVL,PU,P<
131463,ACC,N<,CO,P<,ADVL,PU
131464,N<,CO,CJT,>N,P<,ADVL
131465,CO,CJT,ADVL,ACC,>N,P<
131466,CJT,ADVL,>N,N<,ACC,>N
131467,ADVL,>N,P<,CO,N<,ACC
131468,>N,P<,PU,CJT,CO,N<
131469,P<,PU,SUBJ,ADVL,CJT,CO
131470,PU,SUBJ,STA,>N,ADVL,CJT
131471,SUBJ,STA,>N,P<,>N,ADVL
131472,STA,>N,ACC,PU,P<,>N
131473,>N,ACC,PU,SUBJ,PU,P<
131474,ACC,PU,ADVL,STA,SUBJ,PU
131475,PU,ADVL,PIV,>N,STA,SUBJ
131476,ADVL,PIV,>N,ACC,>N,STA
131477,PIV,>N,P<,PU,ACC,>N
131478,>N,P<,PU,ADVL,PU,ACC
131479,P<,PU,,PIV,ADVL,PU
131480,PU,,,>N,PIV,ADVL
131481,,,,P<,>N,PIV
131482,STA,SC,N<,,,
131483,SC,N<,>N,SUBJ,,
131484,N<,>N,P<,STA,SUBJ,
131485,>N,P<,,SC,STA,SUBJ
131486,P<,,,N<,SC,STA
131487,,,,>N,N<,SC
131488,STA,>N,ACC,,,
131489,>N,ACC,ADVL,SUBJ,,
131490,ACC,ADVL,P<,STA,SUBJ,
131491,ADVL,P<,ADVL,>N,STA,SUBJ
131492,P<,ADVL,>N,ACC,>N,STA
131493,ADVL,>N,P<,ADVL,ACC,>N
131494,>N,P<,,P<,ADVL,ACC
131495,P<,,,ADVL,P<,ADVL
131496,,,,>N,ADVL,P<
131497,SUBJ,PU,APP,,,
131498,PU,APP,PU,>N,,
131499,APP,PU,STA,SUBJ,>N,
131500,PU,STA,ADVL,PU,SUBJ,>N
131501,STA,ADVL,>N,APP,PU,SUBJ
